Site,Village,b_sum,b.1_weighted,b.2_weighted,b.3_weighted,b.4_weighted,b.5_weighted
Mahajamba,Andranoboka,0.45073707579803923,0.11426188039215687,0.059308769,0.07850931703529412,0.0765806064,0.12207650297058824
Mahajamba,Besakoa,0.46132995445,0.129263965,0.07599000045,0.07509576948,0.05836381452,0.12261640500000001
Mahajamba,Tsinjoarivo,0.40396109236119404,0.11328546716417912,0.032437091059701495,0.08069339383880597,0.06505917882985074,0.11248596146865672
Mahajamba,Mahajamba (All),0.4295621966876812,0.11596203985507247,0.04867994441304348,0.07907498511304348,0.06834675506086957,0.11749847224565219
Sahamalaza,Analanabe,0.4759466649142858,0.12052754285714287,0.05132987785714286,0.07146126480000001,0.10188390651428571,0.1307440728857143
Sahamalaza,Antafiatambalaka,0.47602589617777785,0.11908479444444445,0.06560163133333334,0.060194642266666674,0.095460202,0.13568462613333335
Sahamalaza,Lagnamena,0.45713131648648647,0.12267030270270272,0.03433427505405406,0.08527235001081081,0.07852608058378378,0.13632830813513513
Sahamalaza,Maromanjo,0.44072863053333333,0.11868848333333333,0.014993797000000003,0.0823446016,0.0748564808,0.14984526780000001
Sahamalaza,Sahamalaza (All),0.45933833556500003,0.12078016250000001,0.0385049379,0.07776265242,0.08355440772,0.13873617502500002
